year,title,venue,topic,notes
2004,"Safer language subsets: An overview and a case history, MISRA C","Information and Software Technology","safer language subsets","Directly about safer language subsets and MISRA C; explains rationale, specification, implementation, and enforcement [:reference:]abstract@85@1@2-s2.0-1642309241@@false[:/reference:] [:reference:]full_text@87@1@S0950584903002076@S0950584903002076-chunk-43@false[:/reference:]"
2005,"Issues in the application of software safety standards","Conferences in Research and Practice in Information Technology Series","software safety standards","Discusses practical issues and limitations in applying safety standards to safety-critical software [:reference:]abstract@88@2@2-s2.0-84873296020@@false[:/reference:]"
2005,"Structured assurance cases: Three common standards","Proceedings of IEEE International Symposium on High Assurance Systems Engineering","assurance cases / standards","Shows how assurance-case structuring applies to safety-, mission-, and security-critical systems [:reference:]abstract@89@3@2-s2.0-33846988559@@false[:/reference:]"
2006,"Ada 2005: A language for high-integrity applications","CrossTalk","high-integrity language","Presents Ada 2005 as supporting high-integrity and safety certification needs [:reference:]abstract@90@4@2-s2.0-33747111034@@false[:/reference:]"
2007,"A UML profile for developing airworthiness-compliant (RTCA DO-178B), safety-critical software","Lecture Notes in Computer Science","UML profile / certification","Defines SafeUML to support airworthiness-compliant safety-critical software development and certification [:reference:]abstract@91@5@2-s2.0-38049082909@@false[:/reference:]"
2007,"Languages for safety-critical software: Issues and assessment","Proceedings - International Conference on Software Engineering","restricted subsets / language choice","Reviews Ada, C/C++, Java, MISRA C, SPARK, and Java safety profile issues for certification [:reference:]abstract@92@6@2-s2.0-34548799157@@false[:/reference:]"
2007,"Production code generation for safety-critical systems","SAE Technical Papers","safety-critical development","Covers language subsets, V&V, traceability, and code generation for high-integrity software [:reference:]abstract@93@7@2-s2.0-85072439006@@false[:/reference:]"
2007,"Safety-critical software development using automatic production code generation","SAE Technical Papers","certifiable code generation","Discusses production code generation under IEC 61508-style constraints and required verification evidence [:reference:]abstract@94@8@2-s2.0-85087584101@@false[:/reference:]"
2008,"How to select a programming language subset to maximise software quality","Improvements in System Safety - Proceedings of the 16th Safety-Critical Systems Symposium","language subset selection","Proposes a methodology for constructing a language subset for safety/mission-critical systems [:reference:]abstract@83@9@2-s2.0-84883024728@@false[:/reference:]"
2008,"The use and implementation of coding standards for high-confidence embedded systems","IEEE Aerospace Conference Proceedings","coding standards","Surveys large rule sets, enforcement issues, and adoption guidance for safety-critical embedded systems [:reference:]abstract@95@10@2-s2.0-49349091082@@false[:/reference:]"
2008,"Restricting IEC 61131-3 programming languages for use on high integrity applications","IEEE International Conference on Emerging Technologies and Factory Automation","restricted subset","Proposes a restricted subset of IEC 61131-3 languages for high-integrity applications [:reference:]abstract@96@11@2-s2.0-56349109497@@false[:/reference:]"
2008,"Assessing the value of coding standards: An empirical study","IEEE International Conference on Software Maintenance, ICSM","coding standards effectiveness","Empirically studies the relation between coding rules and faults using MISRA C [:reference:]abstract@97@12@2-s2.0-57849089183@@false[:/reference:]"
2008,"VHDL guidance for safe and certifiable FPGA design","IET Conference Publications","coding guidance / certifiable design","Proposes a VHDL subset and guidance for safe, certifiable FPGA design [:reference:]abstract@98@13@2-s2.0-79851485246@@false[:/reference:]"
2009,"Evaluating the relation between coding standard violations and faults within and across software versions","Proceedings of the 2009 6th IEEE International Working Conference on Mining Software Repositories","coding standards / faults","Finds several MISRA C rules significantly predict fault locations [:reference:]abstract@99@14@2-s2.0-70349935045@@false[:/reference:]"
2009,"Certification of software for real-time safety-critical systems: State of the art","Innovations in Systems and Software Engineering","certification","Reviews certification activities, tools, and language-related issues in safety-critical systems [:reference:]abstract@86@15@2-s2.0-67649637649@@false[:/reference:]"
2009,"Open-DO: An open-source initiative for the development of safety-critical software","IET Conference Publications","certification tooling","Targets automation and incremental certification for safety-critical software [:reference:]abstract@100@16@2-s2.0-77955972770@@false[:/reference:]"
2010,"Checking compliance to coding standards for x86 executables","Proceedings - Symposia and Workshops on Ubiquitous, Autonomic and Trusted Computing","coding standards compliance","Shows static binary analysis can check some MISRA-C 2004 rules even without source code [:reference:]abstract@101@17@2-s2.0-78651448398@@false[:/reference:]"
2010,"Safety-critical software development using automatic production code generation","SAE Technical Papers","production code generation","Links automation with verification evidence and certification constraints [:reference:]abstract@94@18@2-s2.0-85087584101@@false[:/reference:]"
2011,"Modeling safety and airworthiness (RTCA DO-178B) information: Conceptual model and UML profile","Software and Systems Modeling","UML profile / airworthiness","Introduces SafeUML to model safety and certification information for aerospace software [:reference:]abstract@102@19@2-s2.0-79959761314@@false[:/reference:]"
2011,"A model-driven engineering approach to support the verification of compliance to safety standards","Proceedings - International Symposium on Software Reliability Engineering","model-driven compliance","Uses UML profiles and MDE to verify compliance to safety standards [:reference:]abstract@103@20@2-s2.0-84856874984@@false[:/reference:]"
2011,"Using UML profiles for sector-specific tailoring of safety evidence information","Lecture Notes in Computer Science","UML profile / safety evidence","Shows how UML profiles can specialize generic standards for sector-specific evidence requirements [:reference:]abstract@104@21@2-s2.0-80455129402@@false[:/reference:]"
2012,"A SysML-based approach to traceability management and design slicing in support of safety certification","article","traceability / certification","Targets certification evidence, traceability, and design slicing for safety-critical software [:reference:]full_text@105@22@S095058491200016X@S095058491200016X-chunk-1@false[:/reference:]"
2013,"Supporting the verification of compliance to safety standards via model-driven engineering: Approach, tool-support and empirical validation","Information and Software Technology","verification of compliance","Provides tool-supported MDE for creating certification evidence and validates it in industry [:reference:]abstract@84@23@2-s2.0-84875217107@@false[:/reference:]"
2013,"Defining requirements on domain-specific languages in model-driven software engineering of safety-critical systems","Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI)","DSLs / safety-critical systems","Defines formal requirements for DSLs used to generate software for safety-critical systems [:reference:]abstract@106@24@2-s2.0-84922706530@@false[:/reference:]"
2013,"AERB SG D-25 and IEC 60880 for certification of software in safety systems of Indian NPP","Lecture Notes in Electrical Engineering","certification standards","Focuses on regulatory requirements for certifying nuclear safety software [:reference:]abstract@107@25@2-s2.0-84881167386@@false[:/reference:]"
2014,"Software safety standards: Evolution and lessons learned","Proceedings - 1st International Conference on Trustworthy Systems and Their Applications","safety standards evolution","Surveys major software safety standards and common features valued by industry [:reference:]abstract@108@26@2-s2.0-84915814834@@false[:/reference:]"
2014,"Evaluating software safety standards: A systematic review and comparison","Proceedings - 8th International Conference on Software Security and Reliability - Companion","standards comparison","Compares major safety standards and finds no single standard dominates all criteria [:reference:]abstract@109@27@2-s2.0-84908658947@@false[:/reference:]"
2016,"Standards-based metamodel for the management of goals, risks and evidences in critical systems development","article","standards-based metamodel","Manages goals, risks, and evidence in critical systems development [:reference:]full_text@110@28@S0920548916300319@S0920548916300319-chunk-4@false[:/reference:]"
