year,title,venue,keyword,notes
2004,Representation-based just-in-time specialization and the psyco prototype for Python,,PyPy,"Python JIT specialization / PyPy precursor" [:reference:]abstract@161@0@2-s2.0-11244321485@@false[:/reference:]
2005,Embedded interpreters,Journal of Functional Programming,embedded runtime,"Interpreter/runtime design relevant to embedded Python-style runtimes" [:reference:]abstract@162@1@2-s2.0-23444461366@@false[:/reference:]
2011,Cython: The best of both worlds,Computing in Science and Engineering,Cython,"Explicit type declarations; compiled to C" [:reference:]abstract@163@2@2-s2.0-79952600759@@false[:/reference:]
2011,The NumPy array: A structure for efficient numerical computation,,Python performance,"Foundational NumPy performance context used by many accelerators" [:reference:]abstract@164@3@2-s2.0-79952595565@@false[:/reference:]
2013,Vectorization technology to improve interpreter performance,Transactions on Architecture and Code Optimization,interpreter optimization,"Interpreter optimization via vectorization" [:reference:]abstract@165@4@2-s2.0-84872962201@@false[:/reference:]
2015,Numba: A LLVM-based Python JIT Compiler,,Numba,"Directly about Numba JIT compilation" [:reference:]abstract@166@5@2-s2.0-85128776848@@false[:/reference:]
2015,HOPE: A Python just-in-time compiler for astrophysical computations,,Python JIT,"Compares Numba, Cython, Nuitka, and related Python performance tools" [:reference:]full_text@167@6@S2213133714000687@S2213133714000687-chunk-10@false[:/reference:]
2015,Pythran: Enabling static optimization of scientific Python programs,Computational Science and Discovery,static compilation,"Static compiler for a Python subset" [:reference:]abstract@168@7@2-s2.0-84938315110@@false[:/reference:]
2015,Language-independent storage strategies for tracing-JIT-based virtual machines,,PyPy,"Built on PyPy/RPython tracing-JIT ecosystem" [:reference:]abstract@169@8@2-s2.0-85105366274@@false[:/reference:]
2017,Design and implementation of the interpreter for the light-weight virtual machine on IoT environments,Information (Japan),MicroPython-adjacent runtime,"Embedded lightweight VM for IoT execution" [:reference:]abstract@170@9@2-s2.0-85040831237@@false[:/reference:]
2018,Component-based mruby platform for IoT devices,Journal of Information Processing,embedded runtime,"Embedded scripting/runtime platform for IoT devices" [:reference:]abstract@171@10@2-s2.0-85052288796@@false[:/reference:]
2019,Assessing and optimizing the performance impact of the just-in-time configuration parameters - a case study on PyPy,Empirical Software Engineering,PyPy,"Empirical study of PyPy JIT settings" [:reference:]abstract@172@11@2-s2.0-85062714161@@false[:/reference:]
2020,A comparative study of high-productivity high-performance programming languages for parallel metaheuristics,,PyPy/Cython/Nuitka/Numba,"Explains these Python acceleration approaches and their tradeoffs" [:reference:]full_text@173@12@S2210650220303734@S2210650220303734-chunk-30@false[:/reference:]
2021,Pyts: A python package for time series classification,Journal of Machine Learning Research,Python package,"Uses NumPy/SciPy/scikit-learn/joblib/Numba" [:reference:]abstract@174@13@2-s2.0-85086867173@@false[:/reference:]
2022,PyExaFMM: An Exercise in Designing High-Performance Software With Python and Numba,Computing in Science and Engineering,Numba,"High-performance Python software with Numba" [:reference:]abstract@175@14@2-s2.0-85160004062@@false[:/reference:]
2022,Sarkas: A fast pure-python molecular dynamics suite for plasma physics,Computer Physics Communications,Numba,"Pure-Python code accelerated with Numba" [:reference:]abstract@176@15@2-s2.0-85120871014@@false[:/reference:]
2022,Influence of data amount, data type and implementation packages in GPU coding,,Numba/CuPy,"Compares Numba GPU coding performance" [:reference:]abstract@177@16@2-s2.0-85145663997@@false[:/reference:]
2023,PyHMMER: a Python library binding to HMMER for efficient sequence analysis,Bioinformatics,Cython,"Python bindings via Cython" [:reference:]abstract@178@17@2-s2.0-85160866440@@false[:/reference:]
2023,Python meets JIT compilers: A simple implementation and a comparative evaluation, ,PyPy/JIT,"Compares PyPy with other Python JITs and implementations" [:reference:]abstract@179@18@2-s2.0-85169843011@@false[:/reference:]
2024,Workload-Specific Performance Evaluation of Python Just-in-TimCompilers: A Comparative Study of Numba and Cython,Journal of Computers, Mechanical and Management,Numba/Cython,"Direct Numba vs Cython workload comparison" [:reference:]abstract@180@19@2-s2.0-105039317423@@false[:/reference:]
2024,FastRealBoostBins: An ensemble classifier for fast predictions implemented in Python via numba.jit and numba.cuda,SoftwareX,Numba,"CPU/GPU implementation via Numba" [:reference:]abstract@181@20@2-s2.0-85185830966@@false[:/reference:]
2024,Numba-MPI v1.0: Enabling MPI communication within Numba/LLVM JIT-compiled Python code,SoftwareX,Numba,"MPI support inside Numba-compiled code" [:reference:]abstract@182@21@2-s2.0-85205545124@@false[:/reference:]
2024,Python shared atomic data types, ,Cython,"Uses CFFI and Cython to optimize shared atomic operations in Python" [:reference:]abstract@183@22@2-s2.0-85168921161@@false[:/reference:]
2024,HiPy: Extracting High-Level Semantics from Python Code for Data Processing,Proceedings of the ACM on Programming Languages,Python acceleration,"Transforms Python into statically-typed IR for optimization" [:reference:]abstract@184@23@2-s2.0-85207642484@@false[:/reference:]
2025,Efficiently accelerated bioimage analysis with NanoPyx, a Liquid Engine-powered Python framework,,Python acceleration,"Includes Cython and Numba among acceleration strategies" [:reference:]full_text@185@24@85214005857@S1548710524000232-chunk-4@true - unknown[:/reference:]
2025,Model of an Open-Source MicroPython Library for GSM NB-IoT,Sensors,MicroPython,"MicroPython library for NB-IoT/GSM integration" [:reference:]abstract@186@25@2-s2.0-105015894189@@false[:/reference:]
2025,Productivity, Portability, Performance, and Reproducibility: Data-Centric Python,IEEE Transactions on Parallel and Distributed Systems,Python performance,"Portable performance across CPU, GPU, FPGA" [:reference:]abstract@187@26@2-s2.0-105002742993@@false[:/reference:]
2025,Embedded application of convolutional neural networks on Raspberry Pi for SHM,Electronics Letters,Python acceleration,"Embedded Python application on constrained hardware" [:reference:]abstract@188@27@2-s2.0-85048121093@@false[:/reference:]
2025,EUTROPY: A Python-based software optimized with Just-In-Time compilation for simulating eutrophication dynamics in aquatic systems,SoftwareX,Numba,"Python software optimized with Numba JIT" [:reference:]abstract@189@28@2-s2.0-105021081326@@false[:/reference:]
2025,Performant and Portable Monte Carlo Neutron Transport via Numba,,Numba,"Python solver built with Numba for CPU/GPU portability" [:reference:]abstract@190@29@2-s2.0-105000558379@@false[:/reference:]
2026,Practical Python FPGA Acceleration with Fast Just-In-Time Compilation and Configuration,,Python acceleration,"Python acceleration using JIT and FPGA overlays" [:reference:]abstract@191@30@2-s2.0-105034841156@@false[:/reference:]
2026,Timing Accuracy and Jitter Characterization of ESP32-Based Phase-Angle AC Control: MicroPython vs. Native C,Electronics (Switzerland),MicroPython,"Direct MicroPython vs native C comparison" [:reference:]abstract@192@31@2-s2.0-105038464346@@false[:/reference:]
