title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Book Series Title,Journal Volume,Journal Issue,Item DOI,URL,Content Type,"﻿""Authors""",Author full names,Author(s) ID,Year,Source title,Art. No.,Page start,Page end,Cited by,Link,Document Type,Publication Stage,Open Access,Source,EID,year,venue,keyword,notes,author,isbn,publisher,address,url,doi,abstract,booktitle,pages,numpages,location,keywords,series,issue_date,volume,number,issn,journal,articleno,note,editor,edition,NDVI,_t,Screening_Score,I1_Publication_Type,I2_Date_Language,I3_Technical_Relevance,I4_Safety_Verification,I5_DO178_Related,E1_NonResearch_Material,E2_Language_Date,E3_Insufficient_Technical_Relevance,E4_Insufficient_Safety_Verification,E5_Duplicate_Superseded,E6_Book,Screening_Decision
Trade Study of Scripting Languages for Avionics Systems,A. Prat; C. Torens; B. Carrick; F. -M. Adolf; F. Giljohann; D. Lüdtke,"German Aerospace Center (DLR) Institute of Software Technology, Braunschweig, Germany; German Aerospace Center (DLR) Institute of Software Technology, Braunschweig, Germany; German Aerospace Center (DLR) Institute of Software Technology, Braunschweig, Germany; German Aerospace Center (DLR) Institute of Software Technology, Braunschweig, Germany; Rockwell Collins Deutschland GmbH, Collins Aerospace I An RTX Business, Heidelberg, Germany; German Aerospace Center (DLR) Institute of Software Technology, Braunschweig, Germany",2024 AIAA DATC/IEEE 43rd Digital Avionics Systems Conference (DASC),15 Nov 2024,2024.0,,,01,09,"Developing software for avionics systems presents a multifaceted challenge, both in terms of complexity and cost. One approach to address these challenges while enabling customization and minimizing requalification efforts is through the utilization of the Lua scripting language. Lua empowers a diverse workforce, allowing for potential customization by end-users without necessitating full system re-verification, thereby saving valuable time and resources. Thus, we explore the use of scripting languages, which have different properties than compiled languages typically used for avionics systems. Scripting languages can reduce complexity by increasing the abstraction layer and supporting software development in the production environment, leading to faster iteration times. However, avionics systems have strict requirements for real-time behavior, memory constraints, and safety-critical certification, which scripting languages are not designed to fulfill. In this paper, we discuss the pros and cons of using scripting languages for safety-critical systems. We present a comparison of different off-the-shelf scripting engines, based on the following criteria: real-time performance, memory usage, portability, reliability, and certifiability to be used in safety-critical systems such as avionics systems. The result is a recommendation of the most suitable language to use in the avionics domain based on different criteria. We recommend Lua as the most suitable language for use in the avionics domain, as it has the best fit to the given requirements. We also suggest modifications that would need to be made to the engine and the scripts to make them certifiable with respect to the DO-178C standards and the additional tool qualification supplements. These include changes to the garbage collector, the type system, and the coding rules and verification methods.",2155-7209,979-8-3503-4961-0,10.1109/DASC62030.2024.10748678,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10748678,scripting languages;interpreted languages;avionics systems;safety-critical systems;real-time requirements;memory management;software certification;software engineering;lua scripting language,Production;Aerospace electronics;Real-time systems;Software;Complexity theory;Reliability;Engines;Standards;Software development management;Qualifications,,1.0,,39.0,IEEE,15 Nov 2024,29 Sept.-3 Oct. 2024,29 Sept.-3 Oct. 2024,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Pass—safety/verification signal,Strong signal—DO-178C/DO-330/DO-333,No obvious signal,No date exclusion signal,No obvious signal,No obvious signal,Requires duplicate/version checking,No obvious signal,HIGH PRIORITY — likely eligible; verify full text
A Proposal for an Adapted Scrum for Aeronautical Software Development,A. Costa; J. Marques,"Space Sciences and Technologies, Aeronautics Institute of Technology, São José dos Campos, Brazil; Space Sciences and Technologies, Aeronautics Institute of Technology, São José dos Campos, Brazil",2024 AIAA DATC/IEEE 43rd Digital Avionics Systems Conference (DASC),15 Nov 2024,2024.0,,,1,9,"Safety-critical Software development is, normally, regulated by norms and standards, which orients a life cycle based on requirements specification, traceability, extensive verification, configuration management, assurance, and respective evidence. Agile software development, strongly based on Agile Manifesto and its values and principles, is characterized by producing and delivering products in accordance with customer expectations and agreed deadlines and costs, based on feedback and welcome changes. Many methods have been created to provide a way to apply this philosophy, such as the widely used Scrum. This method focuses on managing software projects and respective scope through sprints, specific roles and responsibilities, ceremonies as planning, review and retrospective meetings, with the philosophy of self-organized teams, incremental product delivery and continuous improvements. Scrum, as is, does not address the aspects of the process and activities to develop a software application, let alone in the context of software in regulated environments. The research problem focuses on adapting the Scrum framework to support compliance with RTCA DO-178C guideline, providing an adequate method to be used in safety-critical software development for the aeronautical context. This adapted framework concentrates initiative of some proposals found in the literature review, with adjusts to accommodate the different approaches. It also provides traceability to the objectives of the guideline and key performance indicators to monitor the success of this strategy.",2155-7209,979-8-3503-4961-0,10.1109/DASC62030.2024.10749470,Financiadora de Estudos e Projetos (FINEP)(grant numbers:01.22.0615.00); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10749470,agile;scrum;software development;regulated environment;safety-critical software;DO-178,Philosophical considerations;Reviews;Software;Product delivery;Planning;Proposals;Scrum (Software development);Standards;Monitoring;Guidelines,,2.0,,15.0,IEEE,15 Nov 2024,29 Sept.-3 Oct. 2024,29 Sept.-3 Oct. 2024,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Pass—safety/verification signal,Strong signal—DO-178C/DO-330/DO-333,No obvious signal,No date exclusion signal,No obvious signal,No obvious signal,Requires duplicate/version checking,No obvious signal,HIGH PRIORITY — likely eligible; verify full text
A Lightweight Blockchain Framework for Secure Academic Credential Verification Using Python and Docker,E. Akhmetshin; E. Saranya; B. Adilakshumma; S. Nalluri,"Department of Economics, Mamun University, Khiva, Uzbekistan; Department of Information Technology, Mahendra Institute of Technology, Namakkal, India; Department of ECE, KLMCEW, Kadapa, India; Department of Information Security, University of the Cumberlands, Williamsburg, USA","2025 2nd International Conference on New Frontiers in Communication, Automation, Management and Security (ICCAMS)",24 Nov 2025,2025.0,,,1,7,"Academic credentials are becoming more vulnerable by fraud, falsification, and inefficiencies in existing verification processes. This research uses Python and Docker to create a safe, lightweight, and flexible blockchain-based academic credential verification prototype. The approach uses a hybrid blockchain with personal validation nodes for institutional activities and public nodes for external verification. Cryptographic key-based credential signature, SHA-256 data hashing, QR code embedding for credential search and Byzantine Fault Tolerance (BFT) consensus for multi-node validation constitute vital developments. The prototype’s block replication speeds of 0.02 seconds and low resource utilisation (about 200 KB of RAM per transaction) make it appropriate for resource-constrained academic situations. Degrees are issued through a signed PDF certificate with a blockchain-verifiable QR code. Users may verify records using a public query interface employing the hash alone. This architecture has lower latency, simpler implementation, better modularity and better data privacy than Blockcerts & Ethereum-based registries. This study further supports academic institutions, professional licensing, legal documents and supply chain certification with a realistic and scalable basis for safe digital credentials.",,979-8-3315-9610-1,10.1109/ICCAMS65118.2025.11234493,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11234493,Academic credentials;Hybrid Blockchain;QR code;Validation nodes;Cryptographic signature,Supply chains;Random access memory;Prototypes;QR codes;Portable document format;Blockchains;Fraud;Resource management;Programming profession;Python,,2.0,,21.0,IEEE,24 Nov 2025,11-12 July 2025,11-12 July 2025,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Pass—safety/verification signal,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,No obvious signal,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
$$\mathbf{{\textsc {PyCaliper}}}$$ : Python-Embedded Infrastructure for&#xa0;RTL Verification and&#xa0;Specification Synthesis,Adwait GodboleBrian HuffmanFangfei LiuCarlos V RozasSanjit A. Seshia,,Computer Aided Verification,,2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/978-3-031-98682-6_21,https://link.springer.com/chapter/10.1007/978-3-031-98682-6_21,Conference paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Pass—safety/verification signal,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,No obvious signal,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
CodoMo: Python Model Checking to Integrate Agile Verification Process of Computer Vision Systems,Y. Harie; Y. Ogata; B. P. Gautam; K. Wasaki,"Department of Information Engineering, Kanazawa Gakuin University, Kanazawa, Japan; Department of Information Engineering, Kanazawa Gakuin University, Kanazawa, Japan; Department of Information Engineering, Kanazawa Gakuin University, Kanazawa, Japan; Faculty of Engineering, Shinshu University, Nagano, Japan",2024 Twelfth International Symposium on Computing and Networking (CANDAR),31 Dec 2024,2024.0,,,30,38,"Model checking is a fundamental technique for verifying finite state concurrent systems. Traditionally, model designs were initially created to facilitate the application of model checking. This process, representative of Model Driven Development (MDD), involves generating an equivalent code from a given model which is verified before implementation begins. However, this approach is considerably slower compared to agile development methods and lacks flexibility in terms of expandability and refactoring. We have proposed ""CodoMo: Python Code to Model Generator for pyModelChecking."" This tool automates the transformation of a Python code by an AST static analyzer and a concolic testing tool into intermediate models suitable for verification with pyModelChecking, bridging the gap between traditional model checking and agile methodologies. Additionally, we have implemented a multiprocess approach that integrates the execution of PyExZ3 with the generation of Kripke structures achieving greater work efficiency. By employing CodoMo, we successfully verified a Tello Drone programming with gesture-based image processing interfaces, showcasing the tool’s powerful capability to enhance verification processes while maintaining the agility required for today’s fast-paced development cycles.",2379-1896,979-8-3315-2836-2,10.1109/CANDAR64496.2024.00012,Japan Society for the Promotion of Science; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10818278,Agile Integration;Model Checking;Formal Verification;Model-Driven Reverse Engineering (MDRE);Refactoring Assistant;Software Correctness;Quality Assurance,Computer vision;Codes;Computational modeling;Systems architecture;Machine learning;Model checking;System implementation;Python;Drones;Testing,,,,18.0,IEEE,31 Dec 2024,26-29 Nov. 2024,26-29 Nov. 2024,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Pass—safety/verification signal,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,No obvious signal,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
Python Software Package for Automatic Generation and Verification of BPA Simulation Data Aimed at Load Flow Analysis,J. Zhang; H. Zhang; X. Shi; C. Liu,"Shcool of Electrical Engineering, Shandong Univertiy, Jinan, China; Shcool of Electrical Engineering, Shandong Univertiy, Jinan, China; Shcool of Electrical Engineering, Shandong Univertiy, Jinan, China; Shcool of Electrical Engineering, Shandong Univertiy, Jinan, China",2023 International Conference on Power System Technology (PowerCon),6 Dec 2023,2023.0,,,1,5,"With the expansion of the power grid scale and the development of the smart grid, a substantial number of new infrastructure projects are added to the grid annually. To guarantee the safe and stable operation of the power system, it is crucial to construct a power system simulation model based on the actual grid, and promptly input grid parameters into the simulation software, thereby updating the load flow analysis report to provide effective guidance. However, given the stringent requirements of power system simulation software on system data models, the steps involved are complicated and prone to errors. To improve the efficiency of grid data processing, this paper utilizes the Python programming language, oriented towards the BPA calculation program, and proposes an automatic generation and verification method for load flow simulation data files. This can realize the automatic conversion of grid data to simulation parameters intended for load flow analysis. The reliability and practicality of this data generation and verification method are substantiated using the Shandong power grid as an example.",,979-8-3503-0022-2,10.1109/PowerCon58120.2023.10330953,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10330953,Load Flow Analysis;BPA Program;Data Generation;Data Verification,Analytical models;Software packages;Power system simulation;Data models;Software reliability;Smart grids;Power system reliability,,,,6.0,IEEE,6 Dec 2023,21-22 Sept. 2023,21-22 Sept. 2023,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Pass—safety/verification signal,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,No obvious signal,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
The Discourje project: run-time verification of communication protocols in Clojure,Ruben HamersErik HorlingsSung-Shik Jongmans,,International Journal on Software Tools for Technology Transfer,,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s10009-022-00674-y,https://link.springer.com/article/10.1007/s10009-022-00674-y,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Pass—safety/verification signal,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,No obvious signal,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
A Safety Process for Self-adaptive Safety-Critical Plug&Fly Avionics,M. Brunner; D. N. Darwesh; B. Annighoefer,"Institute of Aircraft Systems, University of Stuttgart, Stuttgart, Germany; Institute of Aircraft Systems, University of Stuttgart, Stuttgart, Germany; Institute of Aircraft Systems, University of Stuttgart, Stuttgart, Germany",2021 IEEE/AIAA 40th Digital Avionics Systems Conference (DASC),15 Nov 2021,2021.0,,,1,10,"Self-adaptive avionics are capable to significantly reduce development effort, but require a realignment of the safety process to account for their dynamic, not predetermined configuration.Integrated modular avionics have introduced the concept of an avionics platform hosting multiple mixed-criticality applications on shared hardware devices. The downside of this approach is the huge configuration effort, which is necessary to accommodate all hosted functions. Furthermore, functions have to be implemented with their own redundancy management and failure detection mechanisms. We address these drawbacks with a self-adaptive avionics approach called Plug&Fly avionics. Plug&Fly avionics possess self-* properties of Autonomic Computing. The ultimate objective is avionics that can establish safe operation on their own. However, these systems do not have a static configuration. Nevertheless, the operation of adaptive avionics systems needs to be in line with regulations and requirements necessary for certification. In this paper, we suggest a safety process for these self-adaptive avionics, which splits safety assessment into design-time and run-time activities. Our approach is based on the ARP4754A process and the assessment methods of ARP4761, which is the process usually conducted to reach certification. While design-time activities address the correctness and completeness of portable machine-readable application specifications, the run-time activities generate evidences for the verification of safety requirements. The Plug&Fly avionics platform assures the safety through a virtual certification, which is the necessity for applications to enter live operation.",2155-7209,978-1-6654-3420-1,10.1109/DASC52595.2021.9594388,Ministry of Economic Affairs; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9594388,safety process;ARP4754A;ARP4761;integrated modular avionics (IMA);avionics platforms;self-adaptivity;cyber-physical system;plug&fly;model-based safety assessment;virtual qualification,Adaptive systems;Redundancy;Aerospace electronics;Regulation;Hardware;Safety;Certification,,14.0,,35.0,IEEE,15 Nov 2021,3-7 Oct. 2021,3-7 Oct. 2021,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Pass—safety/verification signal,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,No obvious signal,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
"Gillian, Part II: Real-World Verification for JavaScript and C",Petar MaksimovićSacha-Élie AyounJosé Fragoso SantosPhilippa Gardner,,Computer Aided Verification,,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/978-3-030-81688-9_38,https://link.springer.com/chapter/10.1007/978-3-030-81688-9_38,Conference paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Pass—safety/verification signal,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,No obvious signal,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
fault: A Python Embedded Domain-Specific Language for Metaprogramming Portable Hardware Verification Components,Lenny TruongSteven HerbstRajsekhar SetaluriMakai MannRoss DalyKeyi ZhangCaleb DonovickDaniel StanleyMark HorowitzClark BarrettPat Hanrahan,,Computer Aided Verification,,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/978-3-030-53288-8_19,https://link.springer.com/chapter/10.1007/978-3-030-53288-8_19,Conference paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Pass—safety/verification signal,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,No obvious signal,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
