year,title,venue,keyword,notes
2004,Representation-based just-in-time specialization and the psyco prototype for Python,,PyPy,Python JIT specialization / PyPy precursor [:reference:]abstract@161@0@2-s2.0-11244321485@@false[:/reference:]
2005,Embedded interpreters,Journal of Functional Programming,embedded runtime,Interpreter/runtime design relevant to embedded Python-style runtimes [:reference:]abstract@162@1@2-s2.0-23444461366@@false[:/reference:]
2011,Cython: The best of both worlds,Computing in Science and Engineering,Cython,Explicit type declarations; compiled to C [:reference:]abstract@163@2@2-s2.0-79952600759@@false[:/reference:]
2011,The NumPy array: A structure for efficient numerical computation,,Python performance,Foundational NumPy performance context used by many accelerators [:reference:]abstract@164@3@2-s2.0-79952595565@@false[:/reference:]
2013,Vectorization technology to improve interpreter performance,Transactions on Architecture and Code Optimization,interpreter optimization,Interpreter optimization via vectorization [:reference:]abstract@165@4@2-s2.0-84872962201@@false[:/reference:]
2015,Numba: A LLVM-based Python JIT Compiler,,Numba,Directly about Numba JIT compilation [:reference:]abstract@166@5@2-s2.0-85128776848@@false[:/reference:]
2015,HOPE: A Python just-in-time compiler for astrophysical computations,,Python JIT,"Compares Numba, Cython, Nuitka, and related Python performance tools [:reference:]full_text@167@6@S2213133714000687@S2213133714000687-chunk-10@false[:/reference:]"
2015,Pythran: Enabling static optimization of scientific Python programs,Computational Science and Discovery,static compilation,Static compiler for a Python subset [:reference:]abstract@168@7@2-s2.0-84938315110@@false[:/reference:]
2015,Language-independent storage strategies for tracing-JIT-based virtual machines,,PyPy,Built on PyPy/RPython tracing-JIT ecosystem [:reference:]abstract@169@8@2-s2.0-85105366274@@false[:/reference:]
2017,Design and implementation of the interpreter for the light-weight virtual machine on IoT environments,Information (Japan),MicroPython-adjacent runtime,Embedded lightweight VM for IoT execution [:reference:]abstract@170@9@2-s2.0-85040831237@@false[:/reference:]
2018,Component-based mruby platform for IoT devices,Journal of Information Processing,embedded runtime,Embedded scripting/runtime platform for IoT devices [:reference:]abstract@171@10@2-s2.0-85052288796@@false[:/reference:]
2019,Assessing and optimizing the performance impact of the just-in-time configuration parameters - a case study on PyPy,Empirical Software Engineering,PyPy,Empirical study of PyPy JIT settings [:reference:]abstract@172@11@2-s2.0-85062714161@@false[:/reference:]
2020,A comparative study of high-productivity high-performance programming languages for parallel metaheuristics,,PyPy/Cython/Nuitka/Numba,Explains these Python acceleration approaches and their tradeoffs [:reference:]full_text@173@12@S2210650220303734@S2210650220303734-chunk-30@false[:/reference:]
2021,Pyts: A python package for time series classification,Journal of Machine Learning Research,Python package,Uses NumPy/SciPy/scikit-learn/joblib/Numba [:reference:]abstract@174@13@2-s2.0-85086867173@@false[:/reference:]
2022,PyExaFMM: An Exercise in Designing High-Performance Software With Python and Numba,Computing in Science and Engineering,Numba,High-performance Python software with Numba [:reference:]abstract@175@14@2-s2.0-85160004062@@false[:/reference:]
2022,Sarkas: A fast pure-python molecular dynamics suite for plasma physics,Computer Physics Communications,Numba,Pure-Python code accelerated with Numba [:reference:]abstract@176@15@2-s2.0-85120871014@@false[:/reference:]
2022,Influence of data amount, data type and implementation packages in GPU coding,,Numba/CuPy,Compares Numba GPU coding performance [:reference:]abstract@177@16@2-s2.0-85145663997@@false[:/reference:]
2023,PyHMMER: a Python library binding to HMMER for efficient sequence analysis,Bioinformatics,Cython,Python bindings via Cython [:reference:]abstract@178@17@2-s2.0-85160866440@@false[:/reference:]
2023,Python meets JIT compilers: A simple implementation and a comparative evaluation, ,PyPy/JIT,Compares PyPy with other Python JITs and implementations [:reference:]abstract@179@18@2-s2.0-85169843011@@false[:/reference:]
2024,Workload-Specific Performance Evaluation of Python Just-in-TimCompilers: A Comparative Study of Numba and Cython,Journal of Computers, Mechanical and Management,Numba/Cython,Direct Numba vs Cython workload comparison [:reference:]abstract@180@19@2-s2.0-105039317423@@false[:/reference:]
2024,FastRealBoostBins: An ensemble classifier for fast predictions implemented in Python via numba.jit and numba.cuda,SoftwareX,Numba,CPU/GPU implementation via Numba [:reference:]abstract@181@20@2-s2.0-85185830966@@false[:/reference:]
2024,Numba-MPI v1.0: Enabling MPI communication within Numba/LLVM JIT-compiled Python code,SoftwareX,Numba,MPI support inside Numba-compiled code [:reference:]abstract@182@21@2-s2.0-85205545124@@false[:/reference:]
2024,Python shared atomic data types, ,Cython,Uses CFFI and Cython to optimize shared atomic operations in Python [:reference:]abstract@183@22@2-s2.0-85168921161@@false[:/reference:]
2024,HiPy: Extracting High-Level Semantics from Python Code for Data Processing,Proceedings of the ACM on Programming Languages,Python acceleration,Transforms Python into statically-typed IR for optimization [:reference:]abstract@184@23@2-s2.0-85207642484@@false[:/reference:]
2025,Efficiently accelerated bioimage analysis with NanoPyx, a Liquid Engine-powered Python framework,,Python acceleration,Includes Cython and Numba among acceleration strategies [:reference:]full_text@185@24@85214005857@S1548710524000232-chunk-4@true - unknown[:/reference:]
2025,Model of an Open-Source MicroPython Library for GSM NB-IoT,Sensors,MicroPython,MicroPython library for NB-IoT/GSM integration [:reference:]abstract@186@25@2-s2.0-105015894189@@false[:/reference:]
2025,Productivity, Portability, Performance, and Reproducibility: Data-Centric Python,IEEE Transactions on Parallel and Distributed Systems,Python performance,"Portable performance across CPU, GPU, FPGA [:reference:]abstract@187@26@2-s2.0-105002742993@@false[:/reference:]"
2025,Embedded application of convolutional neural networks on Raspberry Pi for SHM,Electronics Letters,Python acceleration,Embedded Python application on constrained hardware [:reference:]abstract@188@27@2-s2.0-85048121093@@false[:/reference:]
2025,EUTROPY: A Python-based software optimized with Just-In-Time compilation for simulating eutrophication dynamics in aquatic systems,SoftwareX,Numba,Python software optimized with Numba JIT [:reference:]abstract@189@28@2-s2.0-105021081326@@false[:/reference:]
2025,Performant and Portable Monte Carlo Neutron Transport via Numba,,Numba,Python solver built with Numba for CPU/GPU portability [:reference:]abstract@190@29@2-s2.0-105000558379@@false[:/reference:]
2026,Practical Python FPGA Acceleration with Fast Just-In-Time Compilation and Configuration,,Python acceleration,Python acceleration using JIT and FPGA overlays [:reference:]abstract@191@30@2-s2.0-105034841156@@false[:/reference:]
2026,Timing Accuracy and Jitter Characterization of ESP32-Based Phase-Angle AC Control: MicroPython vs. Native C,Electronics (Switzerland),MicroPython,Direct MicroPython vs native C comparison [:reference:]abstract@192@31@2-s2.0-105038464346@@false[:/reference:]
1995,Short encodings of planar graphs and maps,,static analysis / formal methods,"Included because it is a peer-reviewed article in the search result set, but it is not clearly on the Python/type-analysis theme [:reference:]abstract@64@1@2-s2.0-0000962826@@false[:/reference:]"
1999,Linear-time succinct encodings of planar graphs via canonical orderings,,static analysis / formal methods,"Included because it is a peer-reviewed article in the search result set, but it is not clearly on the Python/type-analysis theme [:reference:]abstract@65@2@2-s2.0-0001740837@@false[:/reference:]"
2001,Intrusion detection via static analysis,Proceedings of the IEEE Computer Society Symposium on Research in Security and Privacy,static analysis,[:reference:]abstract@66@3@2-s2.0-0034836394@@false[:/reference:]
2001,An empirical study of operating systems errors,Operating Systems Review (ACM),static analysis,[:reference:]abstract@67@4@2-s2.0-0036041421@@false[:/reference:]
2003,Precise analysis of string expressions,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),static analysis,[:reference:]abstract@68@5@2-s2.0-35248891044@@false[:/reference:]
2004,Emand-Driven type inference with subgoal pruning: Trading precision for scalability,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),type inference,[:reference:]abstract@42@6@2-s2.0-35048898438@@false[:/reference:]
2005,CCured: Type-safe retrofitting of legacy software,ACM Transactions on Programming Languages and Systems,type checking / type inference,[:reference:]abstract@62@7@2-s2.0-33646032658@@false[:/reference:]
2006,On the value of static analysis for fault detection in software,IEEE Transactions on Software Engineering,static analysis,[:reference:]abstract@48@8@2-s2.0-33646501895@@false[:/reference:]
2008,Using static analysis to find bugs,IEEE Software,static analysis,[:reference:]abstract@47@9@2-s2.0-50549091105@@false[:/reference:]
2008,A survey of automated techniques for formal software verification,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,static analysis / verification,[:reference:]abstract@57@10@2-s2.0-45849085781@@false[:/reference:]
2010,WYSINWYX: What you see is not what you execute,ACM Transactions on Programming Languages and Systems,static analysis,[:reference:]abstract@69@11@2-s2.0-77955623537@@false[:/reference:]
2011,Iterative type inference with attribute grammars,ACM SIGPLAN Notices,type inference,[:reference:]abstract@41@12@2-s2.0-79951748723@@false[:/reference:]
2014,Cast insertion strategies for gradually-typed objects,ACM SIGPLAN Notices,gradual typing,[:reference:]abstract@43@13@2-s2.0-84894079183@@false[:/reference:]
2015,Monotonic references for efficient gradual typing,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),gradual typing,[:reference:]abstract@56@14@2-s2.0-84926624668@@false[:/reference:]
2015,Principal Type Schemes for Gradual Programs,ACM SIGPLAN Notices,gradual typing / type inference,[:reference:]abstract@38@15@2-s2.0-105035068550@@false[:/reference:]
2016,Abstracting Gradual Typing,ACM SIGPLAN Notices,gradual typing,[:reference:]abstract@44@16@2-s2.0-84965047936@@false[:/reference:]
2016,The Gradualizer: A methodology and algorithm for generating gradual type systems,ACM SIGPLAN Notices,gradual typing,[:reference:]abstract@37@17@2-s2.0-84965000036@@false[:/reference:]
2017,On polymorphic gradual typing,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@36@18@2-s2.0-85045686307@@false[:/reference:]
2017,Big types in little runtime: Open-world soundness and collaborative blame for gradual type systems,ACM SIGPLAN Notices,gradual typing,[:reference:]abstract@3@19@2-s2.0-85119380585@@false[:/reference:]
2017,Automatically generating the dynamic semantics of gradually typed languages,ACM SIGPLAN Notices,gradual typing,[:reference:]abstract@55@20@2-s2.0-85119322610@@false[:/reference:]
2017,Sound gradual typing is nominally alive and well,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@61@21@2-s2.0-85120105476@@false[:/reference:]
2017,Gradual refinement types,ACM SIGPLAN Notices,gradual typing,[:reference:]abstract@46@22@2-s2.0-85119367665@@false[:/reference:]
2018,A spectrum of type soundness and performance,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@14@23@2-s2.0-85120128210@@false[:/reference:]
2018,Mining inline cache data to order inferred types in dynamic languages,Science of Computer Programming,type inference,[:reference:]abstract@54@24@2-s2.0-85034845249@@false[:/reference:]
2018,Preemptive type checking,,type checking,"Search result included a Python bytecode type-analysis paper, but the venue metadata was not provided [:reference:]full_text@63@25@S2352220816300785@S2352220816300785-chunk-16@false[:/reference:]"
2019,How to evaluate the performance of gradual type systems,Journal of Functional Programming,gradual typing,[:reference:]abstract@59@26@2-s2.0-85061983103@@false[:/reference:]
2019,Rule-based program specialization to optimize gradually typed code,,gradual typing / type checking,[:reference:]full_text@33@27@S0950705119302199@S0950705119302199-chunk-113@false[:/reference:]
2020,Abstracting gradual references,Science of Computer Programming,gradual typing,[:reference:]abstract@34@28@2-s2.0-85086633882@@false[:/reference:]
2020,Taming type annotations in gradual typing,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@6@29@2-s2.0-85097580495@@false[:/reference:]
2020,Gradual Typing Using Union Typing With Records,Electronic Notes in Theoretical Computer Science,gradual typing,[:reference:]abstract@70@30@2-s2.0-85114431496@@false[:/reference:]
2021,Abstracting Gradual Typing moving forward: Precise and space-efficient,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@35@31@2-s2.0-85099071630@@false[:/reference:]
2021,Transitioning from structural to nominal code with efficient gradual typing,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@45@32@2-s2.0-85117597571@@false[:/reference:]
2021,Blame and coercion: Together again for the first time,Journal of Functional Programming,gradual typing,[:reference:]abstract@52@33@2-s2.0-85117442840@@false[:/reference:]
2021,Type-Based Gradual Typing Performance Optimization,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@60@34@2-s2.0-85183076269@@false[:/reference:]
2022,Gradual System F,Journal of the ACM,gradual typing,[:reference:]abstract@39@35@2-s2.0-105014727459@@false[:/reference:]
